state,tariff_rs_per_kwh,tariff_type,effective_from,effective_to,source
Andaman And Nicobar Islands,7.55,Representative Domestic - 4kW 400 Units,2024-06-16,2025-03-31,CEA Book 2025 Table 1(c)
Andhra Pradesh,6.47,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Arunachal Pradesh,4.00,Representative Domestic - 4kW 400 Units,2024-07-01,2025-03-31,CEA Book 2025 Table 1(c)
Assam,8.96,Representative Domestic - 4kW 400 Units,2024-07-01,2025-03-31,CEA Book 2025 Table 1(c)
Bihar,9.37,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Chandigarh,4.33,Representative Domestic - 4kW 400 Units,2024-08-01,2025-03-31,CEA Book 2025 Table 1(c)
Chhattisgarh,4.95,Representative Domestic - 4kW 400 Units,2024-06-01,2025-03-31,CEA Book 2025 Table 1(c)
Dadra And Nagar Haveli And Daman And Diu,2.68,Representative Domestic - 4kW 400 Units,2024-06-16,2025-03-31,CEA Book 2025 Table 1(c)
Delhi,4.25,Representative Domestic - 4kW 400 Units,2021-10-01,2025-03-31,CEA Book 2025 Table 1(c)
Goa,3.53,Representative Domestic - 4kW 400 Units,2024-06-16,2025-03-31,CEA Book 2025 Table 1(c)
Gujarat,4.39,Representative Domestic - 4kW 400 Units,2024-06-01,2025-03-31,CEA Book 2025 Table 1(c)
Haryana,4.71,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Himachal Pradesh,6.15,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Jammu And Kashmir,3.23,Representative Domestic - 4kW 400 Units,2023-12-01,2025-03-31,CEA Book 2025 Table 1(c)
Jharkhand,6.90,Representative Domestic - 4kW 400 Units,2024-10-01,2025-03-31,CEA Book 2025 Table 1(c)
Karnataka,7.10,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Kerala,8.34,Representative Domestic - 4kW 400 Units,2024-12-05,2025-03-31,CEA Book 2025 Table 1(c)
Ladakh,3.12,Representative Domestic - 4kW 400 Units,2024-07-01,2025-03-31,CEA Book 2025 Table 1(c)
Lakshadweep,5.88,Representative Domestic - 4kW 400 Units,2024-06-16,2025-03-31,CEA Book 2025 Table 1(c)
Madhya Pradesh,8.72,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Maharashtra,11.45,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Manipur,6.79,Representative Domestic - 4kW 400 Units,2024-06-16,2025-03-31,CEA Book 2025 Table 1(c)
Mizoram,7.60,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Meghalaya,6.03,Representative Domestic - 4kW 400 Units,2024-06-01,2025-03-31,CEA Book 2025 Table 1(c)
Nagaland,6.83,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Odisha,5.18,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Puducherry,5.40,Representative Domestic - 4kW 400 Units,2024-06-16,2025-03-31,CEA Book 2025 Table 1(c)
Punjab,7.20,Representative Domestic - 4kW 400 Units,2024-06-16,2025-03-31,CEA Book 2025 Table 1(c)
Rajasthan,7.89,Representative Domestic - 4kW 400 Units,2024-08-01,2025-03-31,CEA Book 2025 Table 1(c)
Sikkim,2.98,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Tamil Nadu,5.96,Representative Domestic - 4kW 400 Units,2024-07-01,2025-03-31,CEA Book 2025 Table 1(c)
Telangana,7.13,Representative Domestic - 4kW 400 Units,2024-11-01,2025-03-31,CEA Book 2025 Table 1(c)
Tripura,7.07,Representative Domestic - 4kW 400 Units,2024-08-01,2025-03-31,CEA Book 2025 Table 1(c)
Uttarakhand,6.28,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
Uttar Pradesh,7.04,Representative Domestic - 4kW 400 Units,2024-10-17,2025-03-31,CEA Book 2025 Table 1(c)
West Bengal,7.99,Representative Domestic - 4kW 400 Units,2024-04-01,2025-03-31,CEA Book 2025 Table 1(c)
